timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1631701738951,81,Home,308,Permanent Redirect,Amazon testing 1-11,,true,,281,119,13,13,http://www.amazon.com/,81,0,37
1631701738952,80,Sign in,308,Permanent Redirect,Amazon testing 1-6,,true,,677,515,13,13,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,80,0,38
1631701738959,78,Home,308,Permanent Redirect,Amazon testing 1-1,,true,,281,119,13,13,http://www.amazon.com/,78,0,39
1631701738974,80,Cart,308,Permanent Redirect,Amazon testing 1-9,,true,,312,150,14,14,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,80,0,39
1631701738979,76,Sign in,308,Permanent Redirect,Amazon testing 1-7,,true,,677,515,14,14,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,76,0,38
1631701738976,80,Search,308,Permanent Redirect,Amazon testing 1-4,,true,,308,146,14,14,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,80,0,40
1631701738985,86,Home,308,Permanent Redirect,Amazon testing 1-12,,true,,281,119,14,14,http://www.amazon.com/,86,0,47
1631701739000,75,Cart,308,Permanent Redirect,Amazon testing 1-10,,true,,312,150,14,14,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,75,0,37
1631701738995,83,Home,308,Permanent Redirect,Amazon testing 1-2,,true,,281,119,14,14,http://www.amazon.com/,83,0,42
1631701738998,81,Search,308,Permanent Redirect,Amazon testing 1-5,,true,,308,146,14,14,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,81,0,40
1631701739012,76,Home,308,Permanent Redirect,Amazon testing 1-3,,true,,281,119,15,15,http://www.amazon.com/,76,0,38
1631701739009,90,Sign in,308,Permanent Redirect,Amazon testing 1-8,,true,,677,515,15,15,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,90,0,46
1631701739017,83,Home,308,Permanent Redirect,Amazon testing 1-13,,true,,281,119,15,15,http://www.amazon.com/,83,0,41
1631701739032,80,Search,308,Permanent Redirect,Amazon testing 1-6,,true,,308,146,15,15,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,80,0,39
1631701739032,84,Cart,308,Permanent Redirect,Amazon testing 1-11,,true,,312,150,16,16,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,84,0,41
1631701739037,92,Cart,308,Permanent Redirect,Amazon testing 1-1,,true,,312,150,16,16,http://www.amazon.com/gp/cart/view.html?ref_=nav_cart,92,0,43
1631701739050,79,Home,308,Permanent Redirect,Amazon testing 1-14,,true,,281,119,16,16,http://www.amazon.com/,79,0,36
1631701739054,84,Sign in,308,Permanent Redirect,Amazon testing 1-9,,true,,677,515,16,16,http://www.amazon.com/ap/signin?openid.pape.max_auth_age=0&openid.return_to=https%3A%2F%2Fwww.amazon.com%2Fgp%2Fcart%2Fview.html%3Fref_%3Dnav_ya_signin&openid.identity=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.assoc_handle=usflex&openid.mode=checkid_setup&openid.claimed_id=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0%2Fidentifier_select&openid.ns=http%3A%2F%2Fspecs.openid.net%2Fauth%2F2.0&,84,0,41
1631701739056,83,Search,308,Permanent Redirect,Amazon testing 1-7,,true,,308,146,16,16,http://www.amazon.com/s?k=laptop&ref=nb_sb_noss_2,83,0,41
1631701739057,84,Home,308,Permanent Redirect,Amazon testing 1-4,,true,,281,119,16,16,http://www.amazon.com/,84,0,40
